ingredient,fdc_id,description,data_type,brand_owner,source,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
capsicum,2258588,"Peppers, bell, green, raw",Foundation,,search,,,,,,0.2806 g,,,,7.496 mg,19.692148 kcal,,,,0.05775 mg,,,,,0.9419 g,,,,,,,22.21 µg,,,,,,,,,0.1861 mg,,,,,,,,,9.004 mg,,0.09991 mg,,,,,,,,,,0.6363 mg,,,,,,,,,16.75 mg,,163.1 mg,,0.715 g,,,,,,,,,,0.08875 mg,,,,,,,,,,,,,,,,,,0.03906 mg,,4.7781 g,0.1063 g,,,,,,,,,0.2468 mg,99.51 mg,,,,94.12 g,0.1256 mg
red pepper flakes,2258590,"Peppers, bell, red, raw",Foundation,,search,,,,,,0.3956 g,,,,6.361 mg,26.98843175 kcal,,,,0.03983 mg,,,,,1.158 g,,,,,,,47.32 µg,,,,,,,,,0.3533 mg,,,,,,,,,10.98 mg,,0.1328 mg,,,,,,,,,,1.024 mg,,,,,,,,,26.59 mg,,212.7 mg,,0.895625 g,,,,,,,,,,0.1422 mg,,,,,,,,,,,,,,,,,,0.05494 mg,,6.653175 g,0.1256 g,,,,,,,,,0.3027 mg,141.7 mg,,,,91.93 g,0.2023 mg
bay leaves,2747666,"Scallops, bay, Patagonian, frozen, wild caught",Foundation,,search,,,,,,1.48 g,,,,14.03 mg,78.456 kcal,,,,,,,,,,,,,,,,,,,,,,,,,0.1717 mg,,,,,,,,,46.44 mg,,0.0031 mg,,,,,,,,,,,,,,,,,,,229.1 mg,,292.0 mg,,16.3875 g,,,,,,,,,,,,28.37 µg,,,,,,,,,,252.4 mg,,,,,,,,2.2833 g,0.4192 g,,,,,,,0.67 µg,,,,,,,79.43 g,1.025 mg
jasmine rice,2710825,"Rice, black, unenriched, raw",Foundation,,search,,,,,,1.345 g,,,,14.4 mg,360.53871 kcal,,,,0.2095 mg,,,,,4.179 g,,,,,,,,,,,,,,,,1.116 mg,,,,,,,,,113.4 mg,,3.906 mg,,,,,,,,,,8.278 mg,,,,,,,,,306.7 mg,,255.6 mg,,7.56875 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3188 mg,,77.18825 g,3.438 g,,,,,,,,,0.2024 mg,,,,,10.46 g,1.716 mg
basmati rice,2710825,"Rice, black, unenriched, raw",Foundation,,search,,,,,,1.345 g,,,,14.4 mg,360.53871 kcal,,,,0.2095 mg,,,,,4.179 g,,,,,,,,,,,,,,,,1.116 mg,,,,,,,,,113.4 mg,,3.906 mg,,,,,,,,,,8.278 mg,,,,,,,,,306.7 mg,,255.6 mg,,7.56875 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3188 mg,,77.18825 g,3.438 g,,,,,,,,,0.2024 mg,,,,,10.46 g,1.716 mg
green lentils,2727585,"Green onion, (scallion), bulb and greens, root removed, raw",Foundation,,search,,,,,,0.6269 g,,,,59.44 mg,,,,,0.03499 mg,,,,,2.3 g,,,,,,,,,,,,,,,,1.044 mg,,,,,,,,,18.94 mg,,0.2713 mg,,,,,,,,,,,,,,,,,,,27.86 mg,,232.0 mg,,0.66875 g,,,,,,,,,,,,,,,,,,,,,,9.948 mg,,,,,,,,,,2.618 g,,,,,,,,,,,,,91.67 g,0.2484 mg
vanilla bean,2644281,"Beans, cannellini, dry",Foundation,,search,,,,,,4.143 g,,,,142.9 mg,336.59519 kcal,,,,0.7419 mg,,,,,,,,,,,,,,,,,,,,,6.673 mg,,,,,,,,,153.6 mg,,1.784 mg,,,,,,,,,,,,,,,,,,,412.3 mg,,1424.0 mg,,21.5625 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7955 g,2.199 g,,,,,,,,,,,,,,12.3 g,2.72 mg
cocoa powder,169593,"Cocoa, dry powder, unsweetened",SR Legacy,,search,0.904 g,,,,1.111 g,5.8 g,1.953 g,,230.0 mg,128.0 mg,952.0 kJ,,,12.0 mg,3.788 mg,,,0.239 g,,37.0 g,,,,,,,,,2.948 g,,,0.879 g,,0.339 g,,13.86 mg,0.76 g,,,1.189 g,38.0 µg,,,0.983 g,499.0 mg,,3.837 mg,0.202 g,4.57 g,,,,,,,,2.185 mg,,,,,,,,0.941 g,734.0 mg,0.44 g,1524.0 mg,0.838 g,19.6 g,,,,,,,,,,0.241 mg,8.07 g,14.3 µg,0.846 g,,,,,,,,,21.0 mg,,,,,2057.0 mg,0.078 mg,0.776 g,57.9 g,13.7 g,1.75 g,,0.293 g,0.735 g,1.177 g,,,0.254 mg,0.118 mg,,,0.1 mg,2.5 µg,3.0 g,6.81 mg
dijon mustard,326698,"Mustard, prepared, yellow",Foundation,,search,0.18 g,,,,0.277 g,3.37 g,0.427 g,,,63.0 mg,254.0 kJ,,,,0.074 mg,27.0 µg,,0.08 g,,4.3 g,,,,,,,7.0 µg,,0.793 g,,,0.25 g,,0.13 g,,1.59 mg,0.16 g,,,0.32 g,115.0 µg,,,0.29 g,47.7 mg,,0.42 mg,0.083 g,2.59 g,,,,,,,,0.561 mg,,,,,,,,0.177 g,108.0 mg,0.903 g,150.0 mg,0.393 g,4.25 g,,,,,,,,,,0.066 mg,0.252 g,34.0 µg,0.223 g,,,,,,,,,1100.0 mg,,,,,,0.189 mg,0.183 g,6.39 g,0.006 g,1.42 g,0.01 g,0.01 g,0.147 g,0.207 g,4.0 µg,,0.263 mg,0.069 mg,0.4 mg,,0.35 mg,1.5 µg,83.7 g,0.64 mg
apple cider vinegar,1750342,"Apples, granny smith, with skin, raw",Foundation,,search,,,,,,0.3139 g,,,,5.483 mg,52.958085 kcal,,,,0.03544 mg,,,,,2.514 g,,,,,,,,,,,,,,,,0.06963 mg,,,,,,,,,5.055 mg,,0.03934 mg,,,,,,,,,,0.11 mg,,,,,,,,,9.859 mg,,115.9 mg,,0.265625 g,,,,,,,,,,0.075 mg,,,,,,,,,,,,,,,,,,0.01688 mg,,13.164 g,0.1375 g,10.65 g,,,,,,,,0.02788 mg,,,,,85.14 g,0.02276 mg
white vinegar,172241,"Vinegar, balsamic",SR Legacy,,search,,,,,,0.37 g,,,,27.0 mg,369.0 kJ,,,,0.026 mg,,,,,,,,,,,,,,,,,,,,,0.72 mg,,,,,,,,,12.0 mg,,0.131 mg,,,,,,,,,,,,,,,,,,,19.0 mg,,112.0 mg,,0.49 g,,,,,,,,,,,,,,,,,,,,,,23.0 mg,,,,,,,,17.03 g,,14.95 g,,,,,,,,,,,,,76.45 g,0.08 mg
rice vinegar,2710825,"Rice, black, unenriched, raw",Foundation,,search,,,,,,1.345 g,,,,14.4 mg,360.53871 kcal,,,,0.2095 mg,,,,,4.179 g,,,,,,,,,,,,,,,,1.116 mg,,,,,,,,,113.4 mg,,3.906 mg,,,,,,,,,,8.278 mg,,,,,,,,,306.7 mg,,255.6 mg,,7.56875 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3188 mg,,77.18825 g,3.438 g,,,,,,,,,0.2024 mg,,,,,10.46 g,1.716 mg
bone broth,746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Foundation,,search,,,,,,1.02 g,,,,19.0 mg,918.0 kJ,,80.0 mg,,0.078 mg,,,,,,,,,,,,,,,,,,,,,3.53 mg,,,,,,,,,20.0 mg,,0.003 mg,,4.67 g,,,,,,,,6.37 mg,,,,,,,,,211.0 mg,0.514 g,283.0 mg,,27.3 g,,,,,,,,,,0.27 mg,4.68 g,29.7 µg,,,,,,,,,,67.0 mg,,,,,,,,,0.06 g,,0.594 g,,,,,1.88 µg,,0.753 mg,,,,,60.3 g,4.69 mg
prosciutto,746952,"Ham, sliced, restaurant",Foundation,,search,,,,,,3.63 g,,,,6.0 mg,507.0 kJ,,,,0.041 mg,,,,,,,,,,,,,,,,,,,,,0.86 mg,,,,,,,,,20.3 mg,,0.015 mg,,1.6 g,,,,,,,,,,,,,,,,,246.0 mg,0.675 g,484.0 mg,,19.6 g,,,,,,,,,,,1.25 g,,,,,,,,,,,1030.0 mg,,,,,,,,2.36 g,,2.2 g,0.017 g,,,,,,,,,,,,70.7 g,1.76 mg
pancetta,2514745,"Pork, ground, raw",Foundation,,search,,,,,,0.9243 g,,,,5.857 mg,233.442059 kcal,,71.16 mg,,0.0666 mg,,,,,,,,,,,,,,,,,,,,,0.7876 mg,,,,,,,,,19.03 mg,,,,7.777 g,,,,,,,,,,,,,,,,,173.3 mg,2.553 g,317.7 mg,,17.80625 g,,,,,,,,,,,6.283 g,,,,,,,,,,,53.63 mg,,,,,,,,,17.49 g,,0.066 g,,,,,,,,,,,,63.87 g,2.226 mg
prawns,2684443,"Crustaceans, shrimp, farm raised, raw",Foundation,,search,,,,,,1.865 g,,,,64.63 mg,75.699433 kcal,,136.0 mg,,0.2084 mg,,,,,,,,,,,,,,,,,,,,,0.5223 mg,,,,,,,,,22.53 mg,,0.02866 mg,,,,,,,,,,,,,,,,,,,190.6 mg,,145.9 mg,,15.56875 g,,,,,,,,,0.6478 µg,,,19.48 µg,,,,,,,,,,474.9 mg,,,,,,,,0.48495 g,0.8013 g,,,,,,,0.9963 µg,,,,,,,81.28 g,0.9368 mg
seitan,790085,"Flour, whole wheat, unenriched",Foundation,,search,,,,,,1.56 g,,,,38.0 mg,1550.0 kJ,,,,0.452 mg,,,,,10.6 g,,,,,,,39.0 µg,,,,,,,,,3.86 mg,,,,,,,,,136.0 mg,,3.56 mg,,,,,,,,,,5.55 mg,,,,,,,,,352.0 mg,,376.0 mg,,15.1 g,,,,,,,,,,0.128 mg,,23.6 µg,,,,,,,,,,3.0 mg,,,,,,0.504 mg,,71.2 g,2.73 g,,,,,,,,,0.268 mg,,,,,9.44 g,3.24 mg
lasagna noodles,169731,"Noodles, egg, dry, enriched",SR Legacy,,search,0.516 g,,,,0.6 g,1.12 g,0.762 g,,,35.0 mg,1609.0 kJ,,84.0 mg,78.7 mg,0.297 mg,1.0 µg,,0.299 g,,3.3 g,,,,,,,201.0 µg,,4.58 g,,,0.496 g,,0.378 g,,4.01 mg,0.593 g,,,1.139 g,110.0 µg,,,0.429 g,58.0 mg,,0.855 mg,0.268 g,1.252 g,,,,,,,,8.387 mg,,,,,,,,0.748 g,241.0 mg,1.331 g,244.0 mg,1.544 g,14.16 g,,,,,,,,,17.0 µg,0.426 mg,1.18 g,78.8 µg,0.803 g,,,,,,,,,21.0 mg,,,,,,1.133 mg,0.43 g,71.27 g,4.44 g,1.88 g,0.061 g,0.133 g,0.293 g,0.686 g,17.0 µg,0.29 µg,0.912 mg,0.216 mg,,0.3 µg,0.37 mg,0.5 µg,9.01 g,1.92 mg
soba noodles,169732,"Noodles, egg, enriched, cooked",SR Legacy,,search,0.165 g,,,,0.192 g,0.5 g,0.244 g,,,12.0 mg,578.0 kJ,,29.0 mg,25.7 mg,0.098 mg,,,0.096 g,,1.2 g,,,,,,6.0 µg,77.0 µg,,1.468 g,,,0.159 g,,0.121 g,,1.47 mg,0.19 g,,,0.365 g,38.0 µg,,,0.137 g,21.0 mg,,0.315 mg,0.086 g,0.581 g,,,,,,,,2.077 mg,,,,,,,,0.24 g,76.0 mg,0.552 g,38.0 mg,0.495 g,4.54 g,,,,,,,,,6.0 µg,0.136 mg,0.419 g,23.9 µg,0.257 g,,,,,,,,,5.0 mg,,,,,,0.289 mg,0.138 g,25.16 g,2.07 g,0.4 g,0.029 g,0.043 g,0.094 g,0.22 g,6.0 µg,0.09 µg,0.263 mg,0.046 mg,,0.1 µg,0.17 mg,,67.73 g,0.65 mg
udon noodles,168905,"Noodles, chinese, chow mein",SR Legacy,,search,,,,,,2.66 g,,,,,1973.0 kJ,,,9.0 mg,0.124 mg,,,,,6.7 g,,,,,,,90.0 µg,,,,,,,,,6.43 mg,,,,,14.0 µg,,,,19.0 mg,,0.577 mg,,8.929 g,,,,,,,,4.717 mg,,,,,,,,,98.0 mg,3.571 g,103.0 mg,,10.88 g,,,,,,,,,,0.397 mg,6.738 g,28.5 µg,,,,,,,,,,866.0 mg,,,,,,0.567 mg,,63.64 g,21.24 g,,,,,,,,,0.043 mg,,,0.83 mg,5.3 µg,1.58 g,0.81 mg
baguette,325871,"Bread, white, commercially prepared",Foundation,,search,,,,,,2.1 g,,,,211.0 mg,1130.0 kJ,,,,0.124 mg,,,,,2.3 g,,,,,,,,,,,,,,,,3.36 mg,,,,,,,,,26.9 mg,,0.632 mg,,0.717 g,,,,,,,,4.76 mg,,,,,,,,,113.0 mg,1.87 g,117.0 mg,,9.43 g,,,,,,,,,,0.24 mg,0.821 g,23.2 µg,,,,,,,,,,477.0 mg,,,,,,0.507 mg,,44.8 g,0.007 g,5.34 g,0.035 g,,,,,,0.548 mg,0.092 mg,,,,,35.7 g,0.88 mg
xanthan gum,169045,"Gums, seed gums (includes locust bean, guar)",SR Legacy,,search,,,,,,2.6 g,,,,294.0 mg,1390.0 kJ,,,,,,,,,77.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 g,,,,,,,,,,,,,,,,,,0.07 g,,,4.6 g,,,,,,,,,,,0.06 g,,,,,,,,,,,125.0 mg,,,,,,,,77.3 g,0.5 g,,,,,,,,,,,,,,15.0 g,
psyllium husk,2515380,"Seeds, pumpkin seeds (pepitas), raw",Foundation,,search,,,,,,4.766 g,,,,37.38 mg,514.83917 kcal,,,,1.225 mg,,,,,5.079 g,,,,,,,,,,,,,,,,8.363 mg,,,,,,,,,499.7 mg,,4.121 mg,,,,,,,,,,,,,,,,,,,1150 mg,,691.2 mg,,29.9079 g,,,,,,,,,,,,20.52 µg,,,,,,,,,,,,,,,,,,18.6751 g,40.03 g,,,,,,,,,,,,,,6.621 g,6.341 mg
miso paste,172442,Miso,SR Legacy,,search,0.5 g,,,,0.784 g,12.81 g,1.171 g,,,57.0 mg,828.0 kJ,,,72.2 mg,0.42 mg,,,,,5.4 g,,,,,,,,,1.915 g,,,0.447 g,,0.243 g,,2.49 mg,0.508 g,,,0.82 g,,,,0.478 g,48.0 mg,,0.859 mg,0.129 g,1.118 g,,,,,,,,0.906 mg,,,,,,,,0.486 g,159.0 mg,2.884 g,210.0 mg,0.619 g,12.79 g,,,,,,,,,,0.233 mg,1.025 g,7.0 µg,0.601 g,,,,,,,,,3728.0 mg,,,,,,0.098 mg,0.479 g,25.37 g,6.01 g,6.2 g,,0.155 g,0.352 g,0.547 g,4.0 µg,0.08 µg,0.337 mg,0.199 mg,,,0.01 mg,29.3 µg,43.02 g,2.56 mg
gochujang,2685580,"Tomato, paste, canned, without salt added",Foundation,,search,,,,,,2.915 g,,,,36.85 mg,88.53450625 kcal,,,,0.295 mg,,,,,4.704 g,,,,,,,,,,,,,,,,3.185 mg,,,,,,,,,49.61 mg,,0.3315 mg,,,,,,,,,,,,,,,,,,,91.16 mg,,971.6 mg,,4.234375 g,,,,,,,,,,,,,,,,,,,,,,61.15 mg,,,,,,,,20.188125 g,0.7325 g,11.693 g,,,,,,,,,18.4 mg,,,,71.93 g,0.5113 mg
harissa,2685580,"Tomato, paste, canned, without salt added",Foundation,,search,,,,,,2.915 g,,,,36.85 mg,88.53450625 kcal,,,,0.295 mg,,,,,4.704 g,,,,,,,,,,,,,,,,3.185 mg,,,,,,,,,49.61 mg,,0.3315 mg,,,,,,,,,,,,,,,,,,,91.16 mg,,971.6 mg,,4.234375 g,,,,,,,,,,,,,,,,,,,,,,61.15 mg,,,,,,,,20.188125 g,0.7325 g,11.693 g,,,,,,,,,18.4 mg,,,,71.93 g,0.5113 mg
ponzu sauce,746777,"Sauce, salsa, ready-to-serve",Foundation,,search,,,,,,2.3 g,,,,28.0 mg,122.0 kJ,,,,0.065 mg,,,,,1.8 g,,,,,,,,,,,,,,,,0.42 mg,,,,,211.0 µg,,6310.0 µg,,15.2 mg,,0.11 mg,,,,,,,,,,1.12 mg,,,,,,,,,32.0 mg,,258.0 mg,,1.44 g,,,,,,,,,,,,,,,,,,,,,,656.0 mg,,,,,,0.035 mg,,5.66 g,0.19 g,3.81 g,,,,,24.0 µg,,0.202 mg,0.176 mg,,,1.22 mg,4.2 µg,89.3 g,0.2 mg
mirin,172240,"Vinegar, red wine",SR Legacy,,search,,,,,,0.17 g,,,,6.0 mg,79.0 kJ,,,,0.01 mg,,,,,,,,,,,,,,,,,,,,,0.45 mg,,,,,,,,,4.0 mg,,0.046 mg,,,,,,,,,,,,,,,,,,,8.0 mg,,39.0 mg,,0.04 g,,,,,,,,,,,,,,,,,,,,,,8.0 mg,,,,,,,,0.27 g,,,,,,,,,,,0.5 mg,,,,94.47 g,0.03 mg
rice wine,173161,Rice crackers,SR Legacy,,search,,,,,,2.24 g,,,,,1739.0 kJ,,,33.4 mg,0.301 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0 mg,,4.071 mg,,3.021 g,,,,,,,,5.537 mg,,,,,,,,,362.0 mg,1.641 g,243.0 mg,,10.0 g,,,,,,,,,,0.101 mg,,25.5 µg,,,,,,,,,,233.0 mg,,,,,,0.436 mg,,82.64 g,5.0 g,,0.002 g,,,,,,1.624 mg,0.554 mg,,,1.26 mg,2.1 µg,0.11 g,2.2 mg
tzatziki,746777,"Sauce, salsa, ready-to-serve",Foundation,,search,,,,,,2.3 g,,,,28.0 mg,122.0 kJ,,,,0.065 mg,,,,,1.8 g,,,,,,,,,,,,,,,,0.42 mg,,,,,211.0 µg,,6310.0 µg,,15.2 mg,,0.11 mg,,,,,,,,,,1.12 mg,,,,,,,,,32.0 mg,,258.0 mg,,1.44 g,,,,,,,,,,,,,,,,,,,,,,656.0 mg,,,,,,0.035 mg,,5.66 g,0.19 g,3.81 g,,,,,24.0 µg,,0.202 mg,0.176 mg,,,1.22 mg,4.2 µg,89.3 g,0.2 mg
guacamole,326698,"Mustard, prepared, yellow",Foundation,,search,0.18 g,,,,0.277 g,3.37 g,0.427 g,,,63.0 mg,254.0 kJ,,,,0.074 mg,27.0 µg,,0.08 g,,4.3 g,,,,,,,7.0 µg,,0.793 g,,,0.25 g,,0.13 g,,1.59 mg,0.16 g,,,0.32 g,115.0 µg,,,0.29 g,47.7 mg,,0.42 mg,0.083 g,2.59 g,,,,,,,,0.561 mg,,,,,,,,0.177 g,108.0 mg,0.903 g,150.0 mg,0.393 g,4.25 g,,,,,,,,,,0.066 mg,0.252 g,34.0 µg,0.223 g,,,,,,,,,1100.0 mg,,,,,,0.189 mg,0.183 g,6.39 g,0.006 g,1.42 g,0.01 g,0.01 g,0.147 g,0.207 g,4.0 µg,,0.263 mg,0.069 mg,0.4 mg,,0.35 mg,1.5 µg,83.7 g,0.64 mg
chutney,326698,"Mustard, prepared, yellow",Foundation,,search,0.18 g,,,,0.277 g,3.37 g,0.427 g,,,63.0 mg,254.0 kJ,,,,0.074 mg,27.0 µg,,0.08 g,,4.3 g,,,,,,,7.0 µg,,0.793 g,,,0.25 g,,0.13 g,,1.59 mg,0.16 g,,,0.32 g,115.0 µg,,,0.29 g,47.7 mg,,0.42 mg,0.083 g,2.59 g,,,,,,,,0.561 mg,,,,,,,,0.177 g,108.0 mg,0.903 g,150.0 mg,0.393 g,4.25 g,,,,,,,,,,0.066 mg,0.252 g,34.0 µg,0.223 g,,,,,,,,,1100.0 mg,,,,,,0.189 mg,0.183 g,6.39 g,0.006 g,1.42 g,0.01 g,0.01 g,0.147 g,0.207 g,4.0 µg,,0.263 mg,0.069 mg,0.4 mg,,0.35 mg,1.5 µg,83.7 g,0.64 mg
brandy,172237,"Vinegar, distilled",SR Legacy,,search,,,,,,0.02 g,,,,6.0 mg,76.0 kJ,,,,0.006 mg,,,,,,,,,,,,,,,,,,,,,0.03 mg,,,,,,,,,1.0 mg,,0.055 mg,,,,,,,,,,,,,,,,,,,4.0 mg,,2.0 mg,,,,,,,,,,,,,,0.5 µg,,,,,,,,,,2.0 mg,,,,,,,,0.04 g,,0.04 g,,,,,,,,,,,,,94.78 g,0.01 mg
bourbon,173164,"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",SR Legacy,,search,,14.6 g,,,,0.27 g,,,,46.0 mg,684.0 kJ,,,,0.034 mg,,,,,,,,,,,,,,,,,,,,,0.08 mg,,,,,,,,,3.0 mg,,0.007 mg,,0.001 g,,,,,,,,0.005 mg,,,,,,,,,4.0 mg,0.006 g,4.0 mg,,0.1 g,,,,,,,,,,0.002 mg,0.003 g,0.1 µg,,,,,,,,,,47.0 mg,,,,,,0.003 mg,,15.85 g,0.02 g,15.81 g,,,,,,,0.01 mg,,0.4 mg,,,,69.15 g,0.04 mg
sherry,172240,"Vinegar, red wine",SR Legacy,,search,,,,,,0.17 g,,,,6.0 mg,79.0 kJ,,,,0.01 mg,,,,,,,,,,,,,,,,,,,,,0.45 mg,,,,,,,,,4.0 mg,,0.046 mg,,,,,,,,,,,,,,,,,,,8.0 mg,,39.0 mg,,0.04 g,,,,,,,,,,,,,,,,,,,,,,8.0 mg,,,,,,,,0.27 g,,,,,,,,,,,0.5 mg,,,,94.47 g,0.03 mg
sorbet,746764,"Carrots, frozen, unprepared",Foundation,,search,0.075 g,,,,0.06 g,0.72 g,0.112 g,,,33.0 mg,153.0 kJ,,,,0.08 mg,,,0.048 g,,1.9 g,,,,,,,7.0 µg,,0.196 g,,,0.031 g,,0.03 g,,0.43 mg,0.052 g,,,0.066 g,,,,0.075 g,10.8 mg,,0.143 mg,0.015 g,,,,,,,,,0.465 mg,,,,,,,,0.042 g,31.0 mg,0.163 g,210.0 mg,0.034 g,0.81 g,,,,,,,,,,0.047 mg,,,0.033 g,,,,,,,,,66.0 mg,,,,,,0.039 mg,0.127 g,7.79 g,0.33 g,4.2 g,,0.007 g,0.031 g,0.047 g,,,0.196 mg,0.088 mg,2.2 mg,,0.69 mg,15.0 µg,90.1 g,0.28 mg
dried banana chips,173945,"Bananas, dehydrated, or banana powder",SR Legacy,,search,0.222 g,,,,0.176 g,3.02 g,0.503 g,,,22.0 mg,1448.0 kJ,,,19.6 mg,0.391 mg,,,0.063 g,,9.9 g,,,,,,,,,0.399 g,,,0.19 g,,0.333 g,,1.15 mg,0.167 g,,,0.359 g,84.0 µg,,,0.162 g,108.0 mg,,0.574 mg,0.074 g,0.153 g,,,,,,,,2.8 mg,,,,,,,,0.201 g,74.0 mg,0.337 g,1491.0 mg,0.229 g,3.89 g,,,,,,,,,,0.24 mg,0.698 g,3.9 µg,0.226 g,,,,,,,,,3.0 mg,,,,,,0.18 mg,0.171 g,88.28 g,1.81 g,47.3 g,,,0.121 g,0.282 g,12.0 µg,,,0.44 mg,7.0 mg,,0.39 mg,2.0 µg,3.0 g,0.61 mg
crystallized ginger,169231,"Ginger root, raw",SR Legacy,,search,0.031 g,,,,0.043 g,0.77 g,0.208 g,,,16.0 mg,333.0 kJ,,,28.8 mg,0.226 mg,,,0.008 g,,2.0 g,,,,,,,,,0.162 g,,,0.043 g,,0.03 g,,0.6 mg,0.051 g,,,0.074 g,,,,0.057 g,43.0 mg,,0.229 mg,0.013 g,0.154 g,,,,,,,,0.75 mg,,,,,,,,0.045 g,34.0 mg,0.154 g,415.0 mg,0.041 g,1.82 g,,,,,,,,,,0.034 mg,0.203 g,0.7 µg,0.045 g,,,,,,,,,13.0 mg,,,,,,0.025 mg,0.036 g,17.77 g,0.75 g,1.7 g,,0.012 g,0.02 g,0.073 g,,,0.203 mg,0.16 mg,5.0 mg,,0.26 mg,0.1 µg,78.89 g,0.34 mg
nutritional yeast,167717,Yeast extract spread,SR Legacy,,search,,,,,,13.9 g,,,,67.0 mg,775.0 kJ,,,65.1 mg,0.245 mg,,,,,6.5 g,,,,,,,2993.0 µg,,,,,,,,,4.04 mg,,,,,,,,,180.0 mg,,0.261 mg,,,,,,,,,,127.5 mg,,,,,,,,,104.0 mg,,2100.0 mg,,23.88 g,,,,,,,,,,17.5 mg,,27.6 µg,,,,,,,,,,3380.0 mg,,,,,,23.375 mg,,20.42 g,0.9 g,1.6 g,,,,,,0.5 µg,4.6 mg,,,,,,40.9 g,4.19 mg
brewer's yeast,167717,Yeast extract spread,SR Legacy,,search,,,,,,13.9 g,,,,67.0 mg,775.0 kJ,,,65.1 mg,0.245 mg,,,,,6.5 g,,,,,,,2993.0 µg,,,,,,,,,4.04 mg,,,,,,,,,180.0 mg,,0.261 mg,,,,,,,,,,127.5 mg,,,,,,,,,104.0 mg,,2100.0 mg,,23.88 g,,,,,,,,,,17.5 mg,,27.6 µg,,,,,,,,,,3380.0 mg,,,,,,23.375 mg,,20.42 g,0.9 g,1.6 g,,,,,,0.5 µg,4.6 mg,,,,,,40.9 g,4.19 mg
