ingredient,fdc_id,description,data_type,brand_owner,source,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
wildflower honey,169640,Honey,SR Legacy,,search,0.006 g,,,,0.005 g,0.2 g,0.027 g,,,6.0 mg,1272.0 kJ,,,2.2 mg,0.036 mg,,,0.003 g,,0.2 g,,,,,,7.0 µg,,,0.018 g,,,0.007 g,,0.001 g,,0.42 mg,0.008 g,,,0.01 g,,,,0.008 g,2.0 mg,,0.08 mg,0.001 g,,,,,,,,,0.121 mg,,,,,,,,0.011 g,4.0 mg,,52.0 mg,0.09 g,0.3 g,,,,,,,,,,0.038 mg,,0.8 µg,0.006 g,,,,,,,,,4.0 mg,,,,,,,0.004 g,82.4 g,,82.12 g,,0.004 g,0.008 g,0.009 g,,,0.068 mg,0.024 mg,0.5 mg,,,,17.1 g,0.22 mg
clover honey,169640,Honey,SR Legacy,,search,0.006 g,,,,0.005 g,0.2 g,0.027 g,,,6.0 mg,1272.0 kJ,,,2.2 mg,0.036 mg,,,0.003 g,,0.2 g,,,,,,7.0 µg,,,0.018 g,,,0.007 g,,0.001 g,,0.42 mg,0.008 g,,,0.01 g,,,,0.008 g,2.0 mg,,0.08 mg,0.001 g,,,,,,,,,0.121 mg,,,,,,,,0.011 g,4.0 mg,,52.0 mg,0.09 g,0.3 g,,,,,,,,,,0.038 mg,,0.8 µg,0.006 g,,,,,,,,,4.0 mg,,,,,,,0.004 g,82.4 g,,82.12 g,,0.004 g,0.008 g,0.009 g,,,0.068 mg,0.024 mg,0.5 mg,,,,17.1 g,0.22 mg
manuka honey,169640,Honey,SR Legacy,,search,0.006 g,,,,0.005 g,0.2 g,0.027 g,,,6.0 mg,1272.0 kJ,,,2.2 mg,0.036 mg,,,0.003 g,,0.2 g,,,,,,7.0 µg,,,0.018 g,,,0.007 g,,0.001 g,,0.42 mg,0.008 g,,,0.01 g,,,,0.008 g,2.0 mg,,0.08 mg,0.001 g,,,,,,,,,0.121 mg,,,,,,,,0.011 g,4.0 mg,,52.0 mg,0.09 g,0.3 g,,,,,,,,,,0.038 mg,,0.8 µg,0.006 g,,,,,,,,,4.0 mg,,,,,,,0.004 g,82.4 g,,82.12 g,,0.004 g,0.008 g,0.009 g,,,0.068 mg,0.024 mg,0.5 mg,,,,17.1 g,0.22 mg
light brown sugar,746784,"Sugars, granulated",Foundation,,search,,,,,,0.07 g,,,,1.0 mg,1610.0 kJ,,,,0.007 mg,,,,,,,,,,,,,,,,,,,,,0.05 mg,,,,,,,,,0.3 mg,,0.004 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,1.0 mg,,,,,,,,99.6 g,0.32 g,99.8 g,,,,,,,,,,,,,0.02 g,0.01 mg
dark brown sugar,746784,"Sugars, granulated",Foundation,,search,,,,,,0.07 g,,,,1.0 mg,1610.0 kJ,,,,0.007 mg,,,,,,,,,,,,,,,,,,,,,0.05 mg,,,,,,,,,0.3 mg,,0.004 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,1.0 mg,,,,,,,,99.6 g,0.32 g,99.8 g,,,,,,,,,,,,,0.02 g,0.01 mg
muscovado sugar,746784,"Sugars, granulated",Foundation,,search,,,,,,0.07 g,,,,1.0 mg,1610.0 kJ,,,,0.007 mg,,,,,,,,,,,,,,,,,,,,,0.05 mg,,,,,,,,,0.3 mg,,0.004 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,1.0 mg,,,,,,,,99.6 g,0.32 g,99.8 g,,,,,,,,,,,,,0.02 g,0.01 mg
caster sugar,746784,"Sugars, granulated",Foundation,,search,,,,,,0.07 g,,,,1.0 mg,1610.0 kJ,,,,0.007 mg,,,,,,,,,,,,,,,,,,,,,0.05 mg,,,,,,,,,0.3 mg,,0.004 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,1.0 mg,,,,,,,,99.6 g,0.32 g,99.8 g,,,,,,,,,,,,,0.02 g,0.01 mg
superfine sugar,746784,"Sugars, granulated",Foundation,,search,,,,,,0.07 g,,,,1.0 mg,1610.0 kJ,,,,0.007 mg,,,,,,,,,,,,,,,,,,,,,0.05 mg,,,,,,,,,0.3 mg,,0.004 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,1.0 mg,,,,,,,,99.6 g,0.32 g,99.8 g,,,,,,,,,,,,,0.02 g,0.01 mg
confectioners sugar,746784,"Sugars, granulated",Foundation,,search,,,,,,0.07 g,,,,1.0 mg,1610.0 kJ,,,,0.007 mg,,,,,,,,,,,,,,,,,,,,,0.05 mg,,,,,,,,,0.3 mg,,0.004 mg,,,,,,,,,,,,,,,,,,,,,2.0 mg,,,,,,,,,,,,,,,,,,,,,,,,1.0 mg,,,,,,,,99.6 g,0.32 g,99.8 g,,,,,,,,,,,,,0.02 g,0.01 mg
blanched almond flour,2261420,"Flour, almond",Foundation,,search,,,,,,2.961 g,,,,232.3 mg,577.62536 kcal,,,,0.9753 mg,,,,,9.266 g,,,,,,,37.83 µg,,,,,,,,,3.225 mg,,,,,,,,,251.1 mg,,1.813 mg,,,,,,,,,,3.998 mg,,,,,,,,,512.1 mg,,666.8 mg,,26.24375 g,,,,,,,,,,0.7475 mg,,0.7419 µg,,,,,,,,,,0.8944 mg,,,,,,0.1125 mg,,16.24925 g,50.23 g,,,,,,,,,0.09988 mg,,,,,4.316 g,2.795 mg
